Report Date,County,Place of Fatality,Deaths by County of Residence
03/09/2022,Steuben,192,241
03/09/2022,Suffolk,"4,361","4,351"
03/09/2022,Sullivan,95,128
03/09/2022,Tioga,41,82
03/09/2022,Tompkins,88,82
03/09/2022,Ulster,200,360
03/09/2022,Warren,200,123
03/09/2022,Washington,41,113
03/09/2022,Wayne,100,168
03/09/2022,Westchester,"2,942","2,692"
03/09/2022,Wyoming,68,82
03/09/2022,Yates,26,39
03/10/2021,Albany,533,336
03/10/2021,Allegany,55,82
03/10/2021,Bronx,"3,820","4,195"
03/10/2021,Broome,372,340
03/10/2021,Cattaraugus,77,78
03/10/2021,Cayuga,77,90
03/10/2021,Chautauqua,123,128
03/10/2021,Chemung,159,131
03/10/2021,Chenango,53,70
03/10/2021,Clinton,34,28
03/10/2021,Columbia,95,96
03/10/2021,Cortland,58,60
03/10/2021,Delaware,17,33
03/10/2021,Dutchess,444,415
03/10/2021,Erie,"1,780","1,627"
03/10/2021,Essex,19,26
03/10/2021,Franklin,10,12
03/10/2021,Fulton,60,85
03/10/2021,Genesee,104,120
03/10/2021,Greene,29,71
03/10/2021,Hamilton,0,2
03/10/2021,Herkimer,53,107
03/10/2021,Jefferson,54,63
03/10/2021,Kings,"5,920","6,581"
03/10/2021,Lewis,13,30
03/10/2021,Livingston,34,57
03/10/2021,Madison,72,85
03/10/2021,Manhattan,"4,486","2,743"
03/10/2021,Monroe,"1,130","1,001"
03/10/2021,Montgomery,98,107
03/10/2021,Nassau,"3,586","2,974"
03/10/2021,Niagara,212,320
03/10/2021,Non-NYS,0,195
03/10/2021,Oneida,506,483
03/10/2021,Onondaga,734,642
03/10/2021,Ontario,109,90
03/10/2021,Orange,672,655
03/10/2021,Orleans,49,82
03/10/2021,Oswego,65,89
03/10/2021,Otsego,61,44
03/10/2021,Putnam,82,87
03/10/2021,Queens,"5,173","6,398"
03/10/2021,Rensselaer,108,132
03/10/2021,Richmond,"1,040","1,059"
03/10/2021,Rockland,656,695
03/10/2021,Saratoga,108,149
03/10/2021,Schenectady,171,183
03/10/2021,Schoharie,4,13
03/10/2021,Schuyler,4,12
03/10/2021,Seneca,30,54
03/10/2021,St. Lawrence,85,92
03/10/2021,Statewide Total,"39,311","39,311"
03/10/2021,Steuben,118,139
03/10/2021,Suffolk,"3,179","3,145"
03/10/2021,Sullivan,47,60
03/10/2021,Tioga,39,56
03/10/2021,Tompkins,44,43
03/10/2021,Ulster,138,233
03/10/2021,Warren,76,55
03/10/2021,Washington,32,54
03/10/2021,Wayne,38,65
03/10/2021,Westchester,"2,310","2,139"
03/10/2021,Wyoming,36,49
03/10/2021,Yates,20,26
03/10/2022,Albany,892,504
03/10/2022,Allegany,91,151
03/10/2022,Bronx,"4,770","5,316"
03/10/2022,Broome,598,508
03/10/2022,Cattaraugus,220,218
03/10/2022,Cayuga,109,144
03/10/2022,Chautauqua,284,292
03/10/2022,Chemung,293,227
03/10/2022,Chenango,72,118
03/10/2022,Clinton,115,84
03/10/2022,Columbia,149,140
03/10/2022,Cortland,99,114
03/10/2022,Delaware,25,68
03/10/2022,Dutchess,702,651
03/10/2022,Erie,"2,906","2,596"
03/10/2022,Essex,37,57
03/10/2022,Franklin,29,44
03/10/2022,Fulton,98,166
03/10/2022,Genesee,162,184
03/10/2022,Greene,33,123
03/10/2022,Hamilton,0,5
03/10/2022,Herkimer,68,189
03/10/2022,Jefferson,119,131
03/10/2022,Kings,"7,979","8,810"
03/10/2022,Lewis,18,48
03/10/2022,Livingston,80,113
03/10/2022,Madison,116,125
03/10/2022,Manhattan,"5,942","3,634"
03/10/2022,Monroe,"1,797","1,543"
03/10/2022,Montgomery,179,199
03/10/2022,Nassau,"4,659","3,814"
03/10/2022,Niagara,370,565
03/10/2022,Non-NYS,0,455
03/10/2022,Oneida,808,780
03/10/2022,Onondaga,"1,254","1,036"
03/10/2022,Ontario,227,172
03/10/2022,Orange,"1,024",943
03/10/2022,Orleans,53,113
03/10/2022,Oswego,110,182
03/10/2022,Otsego,135,88
03/10/2022,Putnam,108,121
03/10/2022,Queens,"6,659","8,203"
03/10/2022,Rensselaer,207,245
03/10/2022,Richmond,"1,374","1,400"
03/10/2022,Rockland,855,891
03/10/2022,Saratoga,236,322
03/10/2022,Schenectady,279,296
03/10/2022,Schoharie,12,34
03/10/2022,Schuyler,5,25
03/10/2022,Seneca,38,89
03/10/2022,St. Lawrence,168,180
03/10/2022,Statewide Total,"54,920","54,920"
03/10/2022,Steuben,192,242
03/10/2022,Suffolk,"4,363","4,353"
03/10/2022,Sullivan,95,128
03/10/2022,Tioga,41,82
03/10/2022,Tompkins,88,82
03/10/2022,Ulster,200,360
03/10/2022,Warren,200,123
03/10/2022,Washington,41,113
03/10/2022,Wayne,100,168
03/10/2022,Westchester,"2,943","2,692"
03/10/2022,Wyoming,68,82
03/10/2022,Yates,26,39
03/11/2021,Albany,534,337
03/11/2021,Allegany,55,82
03/11/2021,Bronx,"3,832","4,208"
03/11/2021,Broome,372,340
03/11/2021,Cattaraugus,78,79
03/11/2021,Cayuga,77,90
03/11/2021,Chautauqua,123,128
03/11/2021,Chemung,159,131
03/11/2021,Chenango,53,70
03/11/2021,Clinton,34,28
03/11/2021,Columbia,95,96
03/11/2021,Cortland,58,60
03/11/2021,Delaware,17,33
03/11/2021,Dutchess,446,417
03/11/2021,Erie,"1,780","1,627"
03/11/2021,Essex,19,26
03/11/2021,Franklin,10,12
03/11/2021,Fulton,60,85
03/11/2021,Genesee,104,120
03/11/2021,Greene,29,71
03/11/2021,Hamilton,0,2
03/11/2021,Herkimer,53,107
03/11/2021,Jefferson,54,63
03/11/2021,Kings,"5,933","6,598"
03/11/2021,Lewis,13,30
03/11/2021,Livingston,34,57
03/11/2021,Madison,72,85
03/11/2021,Manhattan,"4,501","2,751"
03/11/2021,Monroe,"1,130","1,001"
03/11/2021,Montgomery,98,107
03/11/2021,Nassau,"3,590","2,977"
03/11/2021,Niagara,212,320
03/11/2021,Non-NYS,0,195
03/11/2021,Oneida,506,483
03/11/2021,Onondaga,734,642
03/11/2021,Ontario,109,90
03/11/2021,Orange,674,657
03/11/2021,Orleans,49,82
03/11/2021,Oswego,65,89
03/11/2021,Otsego,61,44
03/11/2021,Putnam,82,87
03/11/2021,Queens,"5,183","6,411"
03/11/2021,Rensselaer,108,132
03/11/2021,Richmond,"1,042","1,061"
03/11/2021,Rockland,657,697
03/11/2021,Saratoga,108,150
03/11/2021,Schenectady,173,184
03/11/2021,Schoharie,4,13
03/11/2021,Schuyler,4,12
03/11/2021,Seneca,30,54
03/11/2021,St. Lawrence,85,92
03/11/2021,Statewide Total,"39,385","39,385"
03/11/2021,Steuben,118,139
03/11/2021,Suffolk,"3,185","3,150"
03/11/2021,Sullivan,47,60
03/11/2021,Tioga,39,56
03/11/2021,Tompkins,44,43
03/11/2021,Ulster,138,233
03/11/2021,Warren,76,55
03/11/2021,Washington,32,54
03/11/2021,Wayne,38,65
03/11/2021,Westchester,"2,313","2,142"
03/11/2021,Wyoming,36,49
03/11/2021,Yates,20,26
03/11/2022,Albany,895,506
03/11/2022,Allegany,91,151
03/11/2022,Bronx,"4,770","5,316"
03/11/2022,Broome,598,508
03/11/2022,Cattaraugus,220,218
03/11/2022,Cayuga,109,144
03/11/2022,Chautauqua,285,293
03/11/2022,Chemung,293,228
03/11/2022,Chenango,72,118
03/11/2022,Clinton,115,84
03/11/2022,Columbia,149,140
03/11/2022,Cortland,99,114
03/11/2022,Delaware,25,68
03/11/2022,Dutchess,702,651
03/11/2022,Erie,"2,908","2,598"
03/11/2022,Essex,37,57
03/11/2022,Franklin,29,44
03/11/2022,Fulton,98,166
03/11/2022,Genesee,162,184
03/11/2022,Greene,33,123
03/11/2022,Hamilton,0,5
03/11/2022,Herkimer,68,189
03/11/2022,Jefferson,119,131
03/11/2022,Kings,"7,981","8,812"
03/11/2022,Lewis,18,48
03/11/2022,Livingston,80,113
03/11/2022,Madison,116,125
03/11/2022,Manhattan,"5,942","3,634"
03/11/2022,Monroe,"1,799","1,543"
03/11/2022,Montgomery,179,199
03/11/2022,Nassau,"4,661","3,815"
03/11/2022,Niagara,371,566
03/11/2022,Non-NYS,0,455
03/11/2022,Oneida,808,781
03/11/2022,Onondaga,"1,255","1,036"
03/11/2022,Ontario,228,173
03/11/2022,Orange,"1,025",944
03/11/2022,Orleans,53,113
03/11/2022,Oswego,110,182
03/11/2022,Otsego,135,88
03/11/2022,Putnam,108,121
03/11/2022,Queens,"6,659","8,204"
03/11/2022,Rensselaer,207,245
03/11/2022,Richmond,"1,374","1,400"
03/11/2022,Rockland,855,891
03/11/2022,Saratoga,236,323
03/11/2022,Schenectady,279,296
03/11/2022,Schoharie,12,34
03/11/2022,Schuyler,5,25
03/11/2022,Seneca,38,89
03/11/2022,St. Lawrence,168,180
03/11/2022,Statewide Total,"54,938","54,938"
03/11/2022,Steuben,192,242
03/11/2022,Suffolk,"4,363","4,353"
03/11/2022,Sullivan,95,128
03/11/2022,Tioga,41,82
03/11/2022,Tompkins,88,82
03/11/2022,Ulster,200,360
03/11/2022,Warren,200,123
03/11/2022,Washington,41,113
03/11/2022,Wayne,101,170
03/11/2022,Westchester,"2,944","2,693"
03/11/2022,Wyoming,68,82
03/11/2022,Yates,26,39
03/12/2021,Albany,536,338
03/12/2021,Allegany,55,82
03/12/2021,Bronx,"3,840","4,219"
03/12/2021,Broome,373,341
03/12/2021,Cattaraugus,78,79
03/12/2021,Cayuga,77,90
03/12/2021,Chautauqua,123,129
03/12/2021,Chemung,160,131
03/12/2021,Chenango,53,70
03/12/2021,Clinton,34,28
03/12/2021,Columbia,95,96
03/12/2021,Cortland,58,60
03/12/2021,Delaware,17,34
03/12/2021,Dutchess,446,418
03/12/2021,Erie,"1,782","1,628"
03/12/2021,Essex,19,26
03/12/2021,Franklin,10,12
03/12/2021,Fulton,60,85
03/12/2021,Genesee,104,120
03/12/2021,Greene,29,71
03/12/2021,Hamilton,0,2
03/12/2021,Herkimer,53,107
03/12/2021,Jefferson,54,63
03/12/2021,Kings,"5,945","6,612"
03/12/2021,Lewis,13,30
03/12/2021,Livingston,34,57
03/12/2021,Madison,72,85
03/12/2021,Manhattan,"4,511","2,757"
03/12/2021,Monroe,"1,132","1,003"
03/12/2021,Montgomery,98,107
03/12/2021,Nassau,"3,595","2,981"
03/12/2021,Niagara,213,321
03/12/2021,Non-NYS,0,196
03/12/2021,Oneida,508,485
03/12/2021,Onondaga,736,644
03/12/2021,Ontario,110,90
03/12/2021,Orange,675,657
03/12/2021,Orleans,49,82
03/12/2021,Oswego,65,89
03/12/2021,Otsego,62,44
03/12/2021,Putnam,82,87
03/12/2021,Queens,"5,193","6,420"
03/12/2021,Rensselaer,108,132
03/12/2021,Richmond,"1,044","1,064"
03/12/2021,Rockland,657,698
03/12/2021,Saratoga,108,151
03/12/2021,Schenectady,173,184
03/12/2021,Schoharie,4,13
03/12/2021,Schuyler,4,12
03/12/2021,Seneca,30,55
03/12/2021,St. Lawrence,85,92
03/12/2021,Statewide Total,"39,464","39,464"
03/12/2021,Steuben,118,140
03/12/2021,Suffolk,"3,190","3,155"
03/12/2021,Sullivan,49,62
03/12/2021,Tioga,39,56
03/12/2021,Tompkins,48,47
03/12/2021,Ulster,138,233
03/12/2021,Warren,76,55
03/12/2021,Washington,32,54
03/12/2021,Wayne,38,65
03/12/2021,Westchester,"2,318","2,145"
03/12/2021,Wyoming,36,49
03/12/2021,Yates,20,26
03/12/2022,Albany,896,507
03/12/2022,Allegany,91,151
03/12/2022,Bronx,"4,770","5,316"
03/12/2022,Broome,599,509
03/12/2022,Cattaraugus,220,218
03/12/2022,Cayuga,109,144
03/12/2022,Chautauqua,285,293
03/12/2022,Chemung,293,228
03/12/2022,Chenango,72,118
03/12/2022,Clinton,115,84
03/12/2022,Columbia,149,140
03/12/2022,Cortland,99,114
03/12/2022,Delaware,25,68
03/12/2022,Dutchess,702,651
03/12/2022,Erie,"2,908","2,598"
03/12/2022,Essex,37,57
03/12/2022,Franklin,29,44
03/12/2022,Fulton,98,166
03/12/2022,Genesee,162,184
03/12/2022,Greene,33,123
03/12/2022,Hamilton,0,5
03/12/2022,Herkimer,68,189
03/12/2022,Jefferson,119,131
03/12/2022,Kings,"7,981","8,812"
03/12/2022,Lewis,18,48
03/12/2022,Livingston,80,113
03/12/2022,Madison,116,125
03/12/2022,Manhattan,"5,943","3,634"
03/12/2022,Monroe,"1,799","1,543"
03/12/2022,Montgomery,179,199
03/12/2022,Nassau,"4,661","3,815"
03/12/2022,Niagara,372,567
03/12/2022,Non-NYS,0,455
03/12/2022,Oneida,808,781
03/12/2022,Onondaga,"1,255","1,036"
03/12/2022,Ontario,228,173
03/12/2022,Orange,"1,025",944
03/12/2022,Orleans,53,113
03/12/2022,Oswego,110,182
03/12/2022,Otsego,135,88
03/12/2022,Putnam,108,121
03/12/2022,Queens,"6,662","8,207"
03/12/2022,Rensselaer,207,245
03/12/2022,Richmond,"1,374","1,400"
03/12/2022,Rockland,855,891
03/12/2022,Saratoga,236,323
03/12/2022,Schenectady,279,296
03/12/2022,Schoharie,12,34
03/12/2022,Schuyler,5,25
03/12/2022,Seneca,38,89
03/12/2022,St. Lawrence,169,181
03/12/2022,Statewide Total,"54,950","54,950"
03/12/2022,Steuben,193,243
03/12/2022,Suffolk,"4,365","4,355"
03/12/2022,Sullivan,95,128
03/12/2022,Tioga,41,82
03/12/2022,Tompkins,88,82
03/12/2022,Ulster,200,360
03/12/2022,Warren,200,123
03/12/2022,Washington,41,113
03/12/2022,Wayne,101,170
03/12/2022,Westchester,"2,945","2,695"
03/12/2022,Wyoming,68,82
03/12/2022,Yates,26,39
03/13/2021,Albany,537,339
03/13/2021,Allegany,55,82
03/13/2021,Bronx,"3,847","4,231"
03/13/2021,Broome,373,341
03/13/2021,Cattaraugus,78,79
03/13/2021,Cayuga,77,90
03/13/2021,Chautauqua,123,129
03/13/2021,Chemung,160,131
03/13/2021,Chenango,53,70
03/13/2021,Clinton,34,28
03/13/2021,Columbia,96,97
03/13/2021,Cortland,58,60
03/13/2021,Delaware,17,34
03/13/2021,Dutchess,446,418
03/13/2021,Erie,"1,784","1,630"
03/13/2021,Essex,19,26
03/13/2021,Franklin,10,12
03/13/2021,Fulton,60,85
03/13/2021,Genesee,104,120
03/13/2021,Greene,29,71
03/13/2021,Hamilton,0,2
03/13/2021,Herkimer,53,107
03/13/2021,Jefferson,54,63
03/13/2021,Kings,"5,961","6,629"
03/13/2021,Lewis,13,31
03/13/2021,Livingston,34,57
03/13/2021,Madison,72,85
03/13/2021,Manhattan,"4,526","2,764"
03/13/2021,Monroe,"1,133","1,004"
03/13/2021,Montgomery,98,107
03/13/2021,Nassau,"3,600","2,986"
03/13/2021,Niagara,213,321
03/13/2021,Non-NYS,0,197
03/13/2021,Oneida,509,486
03/13/2021,Onondaga,738,645
03/13/2021,Ontario,110,90
03/13/2021,Orange,677,659
03/13/2021,Orleans,49,82
03/13/2021,Oswego,65,89
03/13/2021,Otsego,62,44
03/13/2021,Putnam,82,87
03/13/2021,Queens,"5,196","6,425"
03/13/2021,Rensselaer,108,132
03/13/2021,Richmond,"1,044","1,064"
03/13/2021,Rockland,658,699
03/13/2021,Saratoga,108,151
03/13/2021,Schenectady,174,185
03/13/2021,Schoharie,4,13
03/13/2021,Schuyler,4,12
03/13/2021,Seneca,30,55
03/13/2021,St. Lawrence,85,92
03/13/2021,Statewide Total,"39,527","39,527"
03/13/2021,Steuben,118,140
03/13/2021,Suffolk,"3,193","3,158"
03/13/2021,Sullivan,49,62
03/13/2021,Tioga,39,56
03/13/2021,Tompkins,48,47
03/13/2021,Ulster,138,233
03/13/2021,Warren,76,55
03/13/2021,Washington,32,54
03/13/2021,Wayne,38,65
03/13/2021,Westchester,"2,320","2,146"
03/13/2021,Wyoming,36,49
03/13/2021,Yates,20,26
03/13/2022,Albany,896,507
03/13/2022,Allegany,91,151
03/13/2022,Bronx,"4,770","5,317"
03/13/2022,Broome,599,509
03/13/2022,Cattaraugus,220,219
03/13/2022,Cayuga,109,144
03/13/2022,Chautauqua,285,294
03/13/2022,Chemung,293,228
03/13/2022,Chenango,72,118
03/13/2022,Clinton,115,84
03/13/2022,Columbia,149,140
03/13/2022,Cortland,100,115
03/13/2022,Delaware,25,68
03/13/2022,Dutchess,702,651
03/13/2022,Erie,"2,911","2,599"
03/13/2022,Essex,37,57
03/13/2022,Franklin,29,44
03/13/2022,Fulton,98,166
03/13/2022,Genesee,162,184
03/13/2022,Greene,33,123
03/13/2022,Hamilton,0,5
03/13/2022,Herkimer,68,189
03/13/2022,Jefferson,119,131
03/13/2022,Kings,"7,982","8,813"
03/13/2022,Lewis,18,48
03/13/2022,Livingston,80,113
03/13/2022,Madison,116,125
03/13/2022,Manhattan,"5,946","3,634"
03/13/2022,Monroe,"1,799","1,543"
03/13/2022,Montgomery,179,199
03/13/2022,Nassau,"4,661","3,815"
03/13/2022,Niagara,372,567
03/13/2022,Non-NYS,0,455
03/13/2022,Oneida,808,781
03/13/2022,Onondaga,"1,256","1,037"
03/13/2022,Ontario,228,173
03/13/2022,Orange,"1,026",944
03/13/2022,Orleans,53,113
03/13/2022,Oswego,110,182
03/13/2022,Otsego,135,88
03/13/2022,Putnam,108,121
03/13/2022,Queens,"6,662","8,209"
03/13/2022,Rensselaer,207,245
03/13/2022,Richmond,"1,374","1,400"
03/13/2022,Rockland,855,891
03/13/2022,Saratoga,236,323
03/13/2022,Schenectady,279,296
03/13/2022,Schoharie,12,34
03/13/2022,Schuyler,5,25
03/13/2022,Seneca,38,89
03/13/2022,St. Lawrence,169,181
03/13/2022,Statewide Total,"54,960","54,960"
03/13/2022,Steuben,193,243
03/13/2022,Suffolk,"4,365","4,355"
03/13/2022,Sullivan,95,129
03/13/2022,Tioga,41,82
03/13/2022,Tompkins,88,82
03/13/2022,Ulster,200,360
03/13/2022,Warren,200,123
03/13/2022,Washington,41,113
03/13/2022,Wayne,101,170
03/13/2022,Westchester,"2,945","2,695"
03/13/2022,Wyoming,68,82
03/13/2022,Yates,26,39
03/14/2021,Albany,537,339
03/14/2021,Allegany,55,82
03/14/2021,Bronx,"3,853","4,240"
03/14/2021,Broome,373,341
03/14/2021,Cattaraugus,78,79
03/14/2021,Cayuga,77,90
03/14/2021,Chautauqua,123,129
03/14/2021,Chemung,160,131
03/14/2021,Chenango,53,70
03/14/2021,Clinton,35,29
03/14/2021,Columbia,96,97
03/14/2021,Cortland,58,60
03/14/2021,Delaware,17,34
03/14/2021,Dutchess,446,418
03/14/2021,Erie,"1,786","1,631"
03/14/2021,Essex,19,26
03/14/2021,Franklin,10,12
03/14/2021,Fulton,60,85
03/14/2021,Genesee,104,120
03/14/2021,Greene,29,71
03/14/2021,Hamilton,0,2
03/14/2021,Herkimer,53,107
03/14/2021,Jefferson,54,63
03/14/2021,Kings,"5,979","6,645"
03/14/2021,Lewis,13,31
03/14/2021,Livingston,34,57
03/14/2021,Madison,72,85
03/14/2021,Manhattan,"4,535","2,768"
03/14/2021,Monroe,"1,134","1,005"
03/14/2021,Montgomery,98,107
03/14/2021,Nassau,"3,601","2,987"
03/14/2021,Niagara,214,323
03/14/2021,Non-NYS,0,197
03/14/2021,Oneida,509,486
03/14/2021,Onondaga,738,645
03/14/2021,Ontario,110,90
03/14/2021,Orange,679,661
03/14/2021,Orleans,49,82
03/14/2021,Oswego,65,89
03/14/2021,Otsego,62,44
03/14/2021,Putnam,83,88
03/14/2021,Queens,"5,200","6,434"
03/14/2021,Rensselaer,108,132
03/14/2021,Richmond,"1,047","1,067"
03/14/2021,Rockland,659,700
03/14/2021,Saratoga,108,151
03/14/2021,Schenectady,174,185
03/14/2021,Schoharie,4,13
03/14/2021,Schuyler,4,12
03/14/2021,Seneca,30,55
03/14/2021,St. Lawrence,85,92
03/14/2021,Statewide Total,"39,585","39,585"
03/14/2021,Steuben,118,140
03/14/2021,Suffolk,"3,197","3,162"
03/14/2021,Sullivan,49,62
03/14/2021,Tioga,39,56
03/14/2021,Tompkins,48,47
03/14/2021,Ulster,138,233
03/14/2021,Warren,76,55
03/14/2021,Washington,32,54
03/14/2021,Wayne,38,65
03/14/2021,Westchester,"2,324","2,149"
03/14/2021,Wyoming,36,49
03/14/2021,Yates,20,26
03/14/2022,Albany,896,507
03/14/2022,Allegany,92,152
03/14/2022,Bronx,"4,772","5,319"
03/14/2022,Broome,599,509
03/14/2022,Cattaraugus,220,219
03/14/2022,Cayuga,109,144
03/14/2022,Chautauqua,285,294
03/14/2022,Chemung,293,228
03/14/2022,Chenango,72,118
03/14/2022,Clinton,115,84
03/14/2022,Columbia,149,140
03/14/2022,Cortland,100,116
03/14/2022,Delaware,25,68
03/14/2022,Dutchess,703,651
03/14/2022,Erie,"2,911","2,599"
03/14/2022,Essex,37,57
03/14/2022,Franklin,29,44
03/14/2022,Fulton,98,166
03/14/2022,Genesee,162,184
03/14/2022,Greene,33,123
03/14/2022,Hamilton,0,5
03/14/2022,Herkimer,68,189
03/14/2022,Jefferson,119,131
03/14/2022,Kings,"7,985","8,816"
03/14/2022,Lewis,18,48
03/14/2022,Livingston,80,113
03/14/2022,Madison,116,125
03/14/2022,Manhattan,"5,947","3,635"
03/14/2022,Monroe,"1,799","1,543"
03/14/2022,Montgomery,179,201
03/14/2022,Nassau,"4,663","3,817"
03/14/2022,Niagara,373,568
03/14/2022,Non-NYS,0,455
03/14/2022,Oneida,808,781
03/14/2022,Onondaga,"1,257","1,037"
03/14/2022,Ontario,228,173
03/14/2022,Orange,"1,026",944
03/14/2022,Orleans,53,113
03/14/2022,Oswego,110,182
03/14/2022,Otsego,136,88
03/14/2022,Putnam,108,121
03/14/2022,Queens,"6,663","8,210"
03/14/2022,Rensselaer,207,245
03/14/2022,Richmond,"1,374","1,400"
03/14/2022,Rockland,855,891
03/14/2022,Saratoga,236,323
03/14/2022,Schenectady,279,296
03/14/2022,Schoharie,12,34
03/14/2022,Schuyler,5,25
03/14/2022,Seneca,38,89
03/14/2022,St. Lawrence,169,181
03/14/2022,Statewide Total,"54,976","54,976"
03/14/2022,Steuben,194,244
03/14/2022,Suffolk,"4,365","4,355"
03/14/2022,Sullivan,95,129
03/14/2022,Tioga,41,82
03/14/2022,Tompkins,88,82
03/14/2022,Ulster,200,360
03/14/2022,Warren,200,123
03/14/2022,Washington,41,113
03/14/2022,Wayne,101,170
03/14/2022,Westchester,"2,946","2,696"
03/14/2022,Wyoming,68,82
03/14/2022,Yates,26,39
03/15/2021,Albany,537,339
03/15/2021,Allegany,55,82
03/15/2021,Bronx,"3,859","4,248"
03/15/2021,Broome,373,341
03/15/2021,Cattaraugus,78,79
03/15/2021,Cayuga,77,90
03/15/2021,Chautauqua,123,129
03/15/2021,Chemung,160,131
03/15/2021,Chenango,53,70
03/15/2021,Clinton,35,29
03/15/2021,Columbia,96,97
03/15/2021,Cortland,58,60
03/15/2021,Delaware,17,34
03/15/2021,Dutchess,446,418
03/15/2021,Erie,"1,787","1,632"
03/15/2021,Essex,19,26
03/15/2021,Franklin,10,12
03/15/2021,Fulton,60,85
03/15/2021,Genesee,104,120
03/15/2021,Greene,29,71
03/15/2021,Hamilton,0,2
03/15/2021,Herkimer,53,107
03/15/2021,Jefferson,54,63
03/15/2021,Kings,"5,988","6,654"
03/15/2021,Lewis,13,31
03/15/2021,Livingston,34,57
03/15/2021,Madison,72,85
03/15/2021,Manhattan,"4,542","2,771"
03/15/2021,Monroe,"1,136","1,007"
03/15/2021,Montgomery,98,107
03/15/2021,Nassau,"3,606","2,992"
03/15/2021,Niagara,214,323
03/15/2021,Non-NYS,0,197
03/15/2021,Oneida,509,486
03/15/2021,Onondaga,739,646
03/15/2021,Ontario,110,90
03/15/2021,Orange,679,661
03/15/2021,Orleans,49,82
03/15/2021,Oswego,65,89
03/15/2021,Otsego,62,44
03/15/2021,Putnam,83,88
03/15/2021,Queens,"5,204","6,441"
03/15/2021,Rensselaer,108,132
03/15/2021,Richmond,"1,047","1,067"
03/15/2021,Rockland,663,704
03/15/2021,Saratoga,108,151
03/15/2021,Schenectady,174,185
03/15/2021,Schoharie,4,13
03/15/2021,Schuyler,4,12
03/15/2021,Seneca,30,55
03/15/2021,St. Lawrence,85,92
03/15/2021,Statewide Total,"39,636","39,636"
03/15/2021,Steuben,118,140
03/15/2021,Suffolk,"3,205","3,170"
03/15/2021,Sullivan,49,62
03/15/2021,Tioga,39,56
03/15/2021,Tompkins,48,47
03/15/2021,Ulster,138,233
03/15/2021,Warren,76,55
03/15/2021,Washington,32,54
03/15/2021,Wayne,38,65
03/15/2021,Westchester,"2,328","2,152"
03/15/2021,Wyoming,36,49
03/15/2021,Yates,20,26
03/15/2022,Albany,896,507
03/15/2022,Allegany,92,152
03/15/2022,Bronx,"4,772","5,319"
03/15/2022,Broome,599,509
03/15/2022,Cattaraugus,220,219
03/15/2022,Cayuga,109,144
03/15/2022,Chautauqua,285,295
03/15/2022,Chemung,293,228
03/15/2022,Chenango,72,118
03/15/2022,Clinton,115,84
03/15/2022,Columbia,149,140
03/15/2022,Cortland,100,116
03/15/2022,Delaware,25,68
03/15/2022,Dutchess,705,653
03/15/2022,Erie,"2,913","2,600"
03/15/2022,Essex,37,57
03/15/2022,Franklin,29,44
03/15/2022,Fulton,98,166
03/15/2022,Genesee,162,184
03/15/2022,Greene,33,123
03/15/2022,Hamilton,0,5
03/15/2022,Herkimer,68,189
03/15/2022,Jefferson,119,131
03/15/2022,Kings,"7,987","8,819"
03/15/2022,Lewis,18,48
03/15/2022,Livingston,80,113
03/15/2022,Madison,116,125
03/15/2022,Manhattan,"5,950","3,636"
03/15/2022,Monroe,"1,800","1,544"
03/15/2022,Montgomery,179,201
03/15/2022,Nassau,"4,664","3,818"
03/15/2022,Niagara,373,568
03/15/2022,Non-NYS,0,455
03/15/2022,Oneida,808,781
03/15/2022,Onondaga,"1,258","1,038"
03/15/2022,Ontario,228,173
03/15/2022,Orange,"1,026",944
03/15/2022,Orleans,53,113
03/15/2022,Oswego,110,182
03/15/2022,Otsego,136,88
03/15/2022,Putnam,108,121
03/15/2022,Queens,"6,664","8,212"
03/15/2022,Rensselaer,208,246
03/15/2022,Richmond,"1,376","1,402"
03/15/2022,Rockland,855,891
03/15/2022,Saratoga,236,323
03/15/2022,Schenectady,280,297
03/15/2022,Schoharie,12,34
03/15/2022,Schuyler,5,25
03/15/2022,Seneca,38,89
03/15/2022,St. Lawrence,169,181
03/15/2022,Statewide Total,"54,994","54,994"
03/15/2022,Steuben,194,244
03/15/2022,Suffolk,"4,365","4,355"
03/15/2022,Sullivan,95,129
03/15/2022,Tioga,41,82
03/15/2022,Tompkins,88,82
03/15/2022,Ulster,200,360
03/15/2022,Warren,200,123
03/15/2022,Washington,41,113
03/15/2022,Wayne,101,170
03/15/2022,Westchester,"2,947","2,697"
03/15/2022,Wyoming,68,82
03/15/2022,Yates,26,39
03/16/2021,Albany,538,339
03/16/2021,Allegany,55,82
03/16/2021,Bronx,"3,863","4,252"
03/16/2021,Broome,373,341
03/16/2021,Cattaraugus,78,79
03/16/2021,Cayuga,77,90
03/16/2021,Chautauqua,123,129
03/16/2021,Chemung,160,131
03/16/2021,Chenango,53,71
03/16/2021,Clinton,35,29
03/16/2021,Columbia,96,97
03/16/2021,Cortland,58,60
03/16/2021,Delaware,17,34
03/16/2021,Dutchess,446,418
03/16/2021,Erie,"1,788","1,633"
03/16/2021,Essex,19,26
03/16/2021,Franklin,10,12
03/16/2021,Fulton,60,85
03/16/2021,Genesee,104,120
03/16/2021,Greene,30,72
03/16/2021,Hamilton,0,2
03/16/2021,Herkimer,53,107
03/16/2021,Jefferson,54,63
03/16/2021,Kings,"6,000","6,668"
